// Summary: num_vessel_classes;num_nodes;num_sailing_arcs;num_transshipment_arcs;num_commodities;num_ports
1;42;224;588;4;3
// Vessel classes: vessel_class_id;capacity;available_vessels
0;450;4
// Nodes: id;port_id;time
0;0;0
1;0;12
2;0;24
3;0;36
4;0;48
5;0;60
6;0;72
7;0;84
8;0;96
9;0;108
10;0;120
11;0;132
12;0;144
13;0;156
14;1;0
15;1;12
16;1;24
17;1;36
18;1;48
19;1;60
20;1;72
21;1;84
22;1;96
23;1;108
24;1;120
25;1;132
26;1;144
27;1;156
28;2;0
29;2;12
30;2;24
31;2;36
32;2;48
33;2;60
34;2;72
35;2;84
36;2;96
37;2;108
38;2;120
39;2;132
40;2;144
41;2;156
// Sailing arcs: from_node_id;to_node_id;duration;cost_vc_0
41;8;108;79432.8
40;7;108;79432.8
39;6;108;79432.8
38;5;108;79432.8
37;4;108;79432.8
36;3;108;79432.8
35;2;108;79432.8
34;1;108;79432.8
33;0;108;79432.8
32;13;108;79432.8
31;12;108;79432.8
30;11;108;79432.8
29;10;108;79432.8
28;9;108;79432.8
41;7;96;85004
40;6;96;85004
39;5;96;85004
38;4;96;85004
37;3;96;85004
36;2;96;85004
35;1;96;85004
34;0;96;85004
33;13;96;85004
32;12;96;85004
31;11;96;85004
30;10;96;85004
29;9;96;85004
28;8;96;85004
41;6;84;96089.5
40;5;84;96089.5
39;4;84;96089.5
38;3;84;96089.5
37;2;84;96089.5
36;1;84;96089.5
35;0;84;96089.5
34;13;84;96089.5
33;12;84;96089.5
32;11;84;96089.5
31;10;84;96089.5
30;9;84;96089.5
29;8;84;96089.5
28;7;84;96089.5
41;25;144;81707.5
40;24;144;81707.5
39;23;144;81707.5
38;22;144;81707.5
37;21;144;81707.5
36;20;144;81707.5
35;19;144;81707.5
34;18;144;81707.5
33;17;144;81707.5
32;16;144;81707.5
31;15;144;81707.5
30;14;144;81707.5
29;27;144;81707.5
28;26;144;81707.5
41;24;132;85154.1
40;23;132;85154.1
39;22;132;85154.1
38;21;132;85154.1
37;20;132;85154.1
36;19;132;85154.1
35;18;132;85154.1
34;17;132;85154.1
33;16;132;85154.1
32;15;132;85154.1
31;14;132;85154.1
30;27;132;85154.1
29;26;132;85154.1
28;25;132;85154.1
41;23;120;92779.5
40;22;120;92779.5
39;21;120;92779.5
38;20;120;92779.5
37;19;120;92779.5
36;18;120;92779.5
35;17;120;92779.5
34;16;120;92779.5
33;15;120;92779.5
32;14;120;92779.5
31;27;120;92779.5
30;26;120;92779.5
29;25;120;92779.5
28;24;120;92779.5
27;5;72;59682.1
26;4;72;59682.1
25;3;72;59682.1
24;2;72;59682.1
23;1;72;59682.1
22;0;72;59682.1
21;13;72;59682.1
20;12;72;59682.1
19;11;72;59682.1
18;10;72;59682.1
17;9;72;59682.1
16;8;72;59682.1
15;7;72;59682.1
14;6;72;59682.1
27;4;60;56583.8
26;3;60;56583.8
25;2;60;56583.8
24;1;60;56583.8
23;0;60;56583.8
22;13;60;56583.8
21;12;60;56583.8
20;11;60;56583.8
19;10;60;56583.8
18;9;60;56583.8
17;8;60;56583.8
16;7;60;56583.8
15;6;60;56583.8
14;5;60;56583.8
27;39;144;80984.5
26;38;144;80984.5
25;37;144;80984.5
24;36;144;80984.5
23;35;144;80984.5
22;34;144;80984.5
21;33;144;80984.5
20;32;144;80984.5
19;31;144;80984.5
18;30;144;80984.5
17;29;144;80984.5
16;28;144;80984.5
15;41;144;80984.5
14;40;144;80984.5
27;38;132;84431.1
26;37;132;84431.1
25;36;132;84431.1
24;35;132;84431.1
23;34;132;84431.1
22;33;132;84431.1
21;32;132;84431.1
20;31;132;84431.1
19;30;132;84431.1
18;29;132;84431.1
17;28;132;84431.1
16;41;132;84431.1
15;40;132;84431.1
14;39;132;84431.1
27;37;120;92056.5
26;36;120;92056.5
25;35;120;92056.5
24;34;120;92056.5
23;33;120;92056.5
22;32;120;92056.5
21;31;120;92056.5
20;30;120;92056.5
19;29;120;92056.5
18;28;120;92056.5
17;41;120;92056.5
16;40;120;92056.5
15;39;120;92056.5
14;38;120;92056.5
13;36;108;64116.8
12;35;108;64116.8
11;34;108;64116.8
10;33;108;64116.8
9;32;108;64116.8
8;31;108;64116.8
7;30;108;64116.8
6;29;108;64116.8
5;28;108;64116.8
4;41;108;64116.8
3;40;108;64116.8
2;39;108;64116.8
1;38;108;64116.8
0;37;108;64116.8
13;35;96;69688
12;34;96;69688
11;33;96;69688
10;32;96;69688
9;31;96;69688
8;30;96;69688
7;29;96;69688
6;28;96;69688
5;41;96;69688
4;40;96;69688
