// Summary: num_vessel_classes;num_nodes;num_sailing_arcs;num_transshipment_arcs;num_commodities;num_ports
1;70;756;980;8;5
// Vessel classes: vessel_class_id;capacity;available_vessels
0;450;4
// Nodes: id;port_id;time
0;0;0
1;0;12
2;0;24
3;0;36
4;0;48
5;0;60
6;0;72
7;0;84
8;0;96
9;0;108
10;0;120
11;0;132
12;0;144
13;0;156
14;1;0
15;1;12
16;1;24
17;1;36
18;1;48
19;1;60
20;1;72
21;1;84
22;1;96
23;1;108
24;1;120
25;1;132
26;1;144
27;1;156
28;2;0
29;2;12
30;2;24
31;2;36
32;2;48
33;2;60
34;2;72
35;2;84
36;2;96
37;2;108
38;2;120
39;2;132
40;2;144
41;2;156
42;3;0
43;3;12
44;3;24
45;3;36
46;3;48
47;3;60
48;3;72
49;3;84
50;3;96
51;3;108
52;3;120
53;3;132
54;3;144
55;3;156
56;4;0
57;4;12
58;4;24
59;4;36
60;4;48
61;4;60
62;4;72
63;4;84
64;4;96
65;4;108
66;4;120
67;4;132
68;4;144
69;4;156
// Sailing arcs: from_node_id;to_node_id;duration;cost_vc_0
69;50;108;79432.8
68;49;108;79432.8
67;48;108;79432.8
66;47;108;79432.8
65;46;108;79432.8
64;45;108;79432.8
63;44;108;79432.8
62;43;108;79432.8
61;42;108;79432.8
60;55;108;79432.8
59;54;108;79432.8
58;53;108;79432.8
57;52;108;79432.8
56;51;108;79432.8
69;49;96;85004
68;48;96;85004
67;47;96;85004
66;46;96;85004
65;45;96;85004
64;44;96;85004
63;43;96;85004
62;42;96;85004
61;55;96;85004
60;54;96;85004
59;53;96;85004
58;52;96;85004
57;51;96;85004
56;50;96;85004
69;48;84;96089.5
68;47;84;96089.5
67;46;84;96089.5
66;45;84;96089.5
65;44;84;96089.5
64;43;84;96089.5
63;42;84;96089.5
62;55;84;96089.5
61;54;84;96089.5
60;53;84;96089.5
59;52;84;96089.5
58;51;84;96089.5
57;50;84;96089.5
56;49;84;96089.5
69;34;84;120710
68;33;84;120710
67;32;84;120710
66;31;84;120710
65;30;84;120710
64;29;84;120710
63;28;84;120710
62;41;84;120710
61;40;84;120710
60;39;84;120710
59;38;84;120710
58;37;84;120710
57;36;84;120710
56;35;84;120710
69;33;72;125153
68;32;72;125153
67;31;72;125153
66;30;72;125153
65;29;72;125153
64;28;72;125153
63;41;72;125153
62;40;72;125153
61;39;72;125153
60;38;72;125153
59;37;72;125153
58;36;72;125153
57;35;72;125153
56;34;72;125153
69;7;96;114521
68;6;96;114521
67;5;96;114521
66;4;96;114521
65;3;96;114521
64;2;96;114521
63;1;96;114521
62;0;96;114521
61;13;96;114521
60;12;96;114521
59;11;96;114521
58;10;96;114521
57;9;96;114521
56;8;96;114521
69;6;84;112302
68;5;84;112302
67;4;84;112302
66;3;84;112302
65;2;84;112302
64;1;84;112302
63;0;84;112302
62;13;84;112302
61;12;84;112302
60;11;84;112302
